 #[Z/H]  t(Gyr)       M*_T    M*_alive    M*_WD     M*_NS     M*_BH     M_TO   
  0.00   0.000001    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.000100    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.000200    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.000400    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.000600    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.000800    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.001000    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.001500    0.9709    0.9574    0.0000    0.0000    0.0135   66.3792
  0.00   0.002000    0.9657    0.9470    0.0000    0.0000    0.0187   57.3907
  0.00   0.002500    0.9541    0.9237    0.0000    0.0000    0.0304   42.3500
  0.00   0.003000    0.9444    0.9114    0.0000    0.0003    0.0327   36.4575
  0.00   0.003500    0.9276    0.8938    0.0000    0.0010    0.0327   29.7738
  0.00   0.004000    0.9179    0.8837    0.0000    0.0015    0.0327   26.6177
  0.00   0.004500    0.9123    0.8777    0.0000    0.0019    0.0327   24.9731
  0.00   0.005000    0.9089    0.8741    0.0000    0.0021    0.0327   24.0398
  0.00   0.005500    0.9058    0.8709    0.0000    0.0023    0.0327   23.2256
  0.00   0.006000    0.8947    0.8590    0.0000    0.0030    0.0327   20.5718
  0.00   0.006500    0.8836    0.8470    0.0000    0.0039    0.0327   18.2770
  0.00   0.007000    0.8769    0.8397    0.0000    0.0045    0.0327   17.0446
  0.00   0.007500    0.8733    0.8359    0.0000    0.0048    0.0327   16.4382
  0.00   0.008000    0.8700    0.8322    0.0000    0.0051    0.0327   15.8867
  0.00   0.008500    0.8667    0.8285    0.0000    0.0054    0.0327   15.3576
  0.00   0.009000    0.8625    0.8240    0.0000    0.0059    0.0327   14.7306
  0.00   0.009500    0.8579    0.8188    0.0000    0.0064    0.0327   14.0642
  0.00   0.010000    0.8535    0.8139    0.0000    0.0069    0.0327   13.4600
  0.00   0.015000    0.8332    0.7910    0.0000    0.0095    0.0327   11.0632
  0.00   0.020000    0.8279    0.7849    0.0000    0.0103    0.0327   10.5143
  0.00   0.025000    0.8042    0.7571    0.0001    0.0143    0.0327    8.4361
  0.00   0.030000    0.8014    0.7538    0.0006    0.0143    0.0327    8.2247
  0.00   0.035000    0.7925    0.7436    0.0020    0.0143    0.0327    7.6128
  0.00   0.040000    0.7855    0.7354    0.0032    0.0143    0.0327    7.1656
  0.00   0.045000    0.7792    0.7280    0.0042    0.0143    0.0327    6.7931
  0.00   0.050000    0.7735    0.7213    0.0052    0.0143    0.0327    6.4763
  0.00   0.055000    0.7683    0.7152    0.0062    0.0143    0.0327    6.2024
  0.00   0.060000    0.7626    0.7084    0.0072    0.0143    0.0327    5.9188
  0.00   0.065000    0.7591    0.7042    0.0079    0.0143    0.0327    5.7500
  0.00   0.070000    0.7550    0.6993    0.0087    0.0143    0.0327    5.5601
  0.00   0.075000    0.7511    0.6947    0.0094    0.0143    0.0327    5.3889
  0.00   0.080000    0.7474    0.6903    0.0102    0.0143    0.0327    5.2335
  0.00   0.085000    0.7440    0.6861    0.0109    0.0143    0.0327    5.0916
  0.00   0.090000    0.7407    0.6822    0.0116    0.0143    0.0327    4.9614
  0.00   0.095000    0.7376    0.6785    0.0122    0.0143    0.0327    4.8413
  0.00   0.100000    0.7348    0.6750    0.0128    0.0143    0.0327    4.7334
  0.00   0.200000    0.6992    0.6308    0.0214    0.0143    0.0327    3.6001
  0.00   0.300000    0.6788    0.6047    0.0272    0.0143    0.0327    3.0934
  0.00   0.400000    0.6642    0.5855    0.0318    0.0143    0.0327    2.7777
  0.00   0.500000    0.6532    0.5706    0.0356    0.0143    0.0327    2.5617
  0.00   0.600000    0.6441    0.5581    0.0390    0.0143    0.0327    2.3977
  0.00   0.700000    0.6366    0.5476    0.0420    0.0143    0.0327    2.2695
  0.00   0.800000    0.6300    0.5384    0.0447    0.0143    0.0327    2.1640
  0.00   0.900000    0.6242    0.5301    0.0472    0.0143    0.0327    2.0750
  0.00   1.000000    0.6191    0.5226    0.0495    0.0143    0.0327    1.9985
  0.00   1.500000    0.6004    0.4944    0.0590    0.0143    0.0327    1.7408
  0.00   2.000000    0.5874    0.4739    0.0665    0.0143    0.0327    1.5784
  0.00   3.000000    0.5695    0.4439    0.0786    0.0143    0.0327    1.3719
  0.00   4.000000    0.5587    0.4246    0.0872    0.0143    0.0327    1.2550
  0.00   5.000000    0.5509    0.4097    0.0942    0.0143    0.0327    1.1729
  0.00   6.000000    0.5450    0.3980    0.1000    0.0143    0.0327    1.1120
  0.00   7.000000    0.5414    0.3907    0.1038    0.0143    0.0327    1.0754
  0.00   8.000000    0.5389    0.3854    0.1066    0.0143    0.0327    1.0498
  0.00   9.000000    0.5360    0.3789    0.1101    0.0143    0.0327    1.0196
  0.00  10.000000    0.5339    0.3742    0.1127    0.0143    0.0327    0.9982
  0.00  11.000000    0.5316    0.3690    0.1156    0.0143    0.0327    0.9749
  0.00  12.000000    0.5297    0.3645    0.1182    0.0143    0.0327    0.9551
  0.00  13.000000    0.5280    0.3603    0.1206    0.0143    0.0327    0.9372
  0.00  14.000000    0.5264    0.3565    0.1229    0.0143    0.0327    0.9209
  0.00  15.000000    0.5248    0.3525    0.1253    0.0143    0.0327    0.9046
