#[Z/H]    t(Gyr)      M*_T    M*_alive   M*_WD     M*_NS     M*_BH      M_TO   
# Kroupa IMF. Values refer to 1 solar mass
 -2.25   1.000000    0.6477    0.5497    0.0553    0.0130    0.0297    1.6989
 -2.25   1.500000    0.6326    0.5255    0.0645    0.0130    0.0297    1.5001
 -2.25   2.000000    0.6226    0.5084    0.0715    0.0130    0.0297    1.3781
 -2.25   3.000000    0.6089    0.4836    0.0826    0.0130    0.0297    1.2229
 -2.25   4.000000    0.5996    0.4656    0.0913    0.0130    0.0297    1.1245
 -2.25   5.000000    0.5929    0.4516    0.0986    0.0130    0.0297    1.0547
 -2.25   6.000000    0.5877    0.4401    0.1048    0.0130    0.0297    1.0017
 -2.25   7.000000    0.5835    0.4304    0.1103    0.0130    0.0297    0.9596
 -2.25   8.000000    0.5799    0.4218    0.1154    0.0130    0.0297    0.9241
 -2.25   9.000000    0.5769    0.4141    0.1200    0.0130    0.0297    0.8938
 -2.25  10.000000    0.5744    0.4075    0.1241    0.0130    0.0297    0.8689
 -2.25  11.000000    0.5721    0.4014    0.1281    0.0130    0.0297    0.8464
 -2.25  12.000000    0.5702    0.3959    0.1316    0.0130    0.0297    0.8270
 -2.25  13.000000    0.5684    0.3906    0.1351    0.0130    0.0297    0.8090
 -2.25  14.000000    0.5668    0.3855    0.1386    0.0130    0.0297    0.7920
 -2.25  15.000000    0.5654    0.3811    0.1416    0.0130    0.0297    0.7776
 -1.35   0.000001    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.000100    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.000200    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.000400    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.000600    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.000800    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.001000    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.001500    1.0000    1.0000    0.0000    0.0000    0.0000   99.9999
 -1.35   0.002000    0.9960    0.9919    0.0000    0.0000    0.0040   86.9203
 -1.35   0.002500    0.9846    0.9692    0.0000    0.0000    0.0154   60.3311
 -1.35   0.003000    0.9765    0.9530    0.0000    0.0000    0.0235   47.5091
 -1.35   0.003500    0.9708    0.9415    0.0000    0.0000    0.0292   40.5364
 -1.35   0.004000    0.9757    0.9330    0.0000    0.0130    0.0297   36.2089
 -1.35   0.004500    0.9679    0.9252    0.0000    0.0130    0.0297   32.7184
 -1.35   0.005000    0.9568    0.9141    0.0000    0.0130    0.0297   28.5138
 -1.35   0.005500    0.9483    0.9056    0.0000    0.0130    0.0297   25.7534
 -1.35   0.006000    0.9419    0.8992    0.0000    0.0130    0.0297   23.8925
 -1.35   0.006500    0.9350    0.8923    0.0000    0.0130    0.0297   22.0862
 -1.35   0.007000    0.9270    0.8843    0.0000    0.0130    0.0297   20.2189
 -1.35   0.007500    0.9233    0.8806    0.0000    0.0130    0.0297   19.4092
 -1.35   0.008000    0.9194    0.8767    0.0000    0.0130    0.0297   18.6067
 -1.35   0.008500    0.9128    0.8701    0.0000    0.0130    0.0297   17.3506
 -1.35   0.009000    0.9080    0.8653    0.0000    0.0130    0.0297   16.5012
 -1.35   0.009500    0.9044    0.8617    0.0000    0.0130    0.0297   15.9107
 -1.35   0.010000    0.9010    0.8583    0.0000    0.0130    0.0297   15.3700
 -1.35   0.015000    0.8715    0.8288    0.0000    0.0130    0.0297   11.5457
 -1.35   0.020000    0.8536    0.8109    0.0000    0.0130    0.0297    9.8196
 -1.35   0.025000    0.8531    0.8105    0.0000    0.0130    0.0297    9.7808
 -1.35   0.030000    0.8403    0.7976    0.0000    0.0130    0.0297    8.7467
 -1.35   0.035000    0.8314    0.7878    0.0009    0.0130    0.0297    8.0562
 -1.35   0.040000    0.8235    0.7787    0.0021    0.0130    0.0297    7.4725
 -1.35   0.045000    0.8165    0.7705    0.0033    0.0130    0.0297    6.9929
 -1.35   0.050000    0.8101    0.7630    0.0044    0.0130    0.0297    6.5900
 -1.35   0.055000    0.8042    0.7561    0.0055    0.0130    0.0297    6.2455
 -1.35   0.060000    0.7988    0.7497    0.0065    0.0130    0.0297    5.9468
 -1.35   0.065000    0.7938    0.7437    0.0074    0.0130    0.0297    5.6847
 -1.35   0.070000    0.7891    0.7381    0.0083    0.0130    0.0297    5.4523
 -1.35   0.075000    0.7847    0.7328    0.0092    0.0130    0.0297    5.2445
