#[Z/H]    t(Gyr)      M*_T    M*_alive   M*_WD     M*_NS     M*_BH      M_TO   
# Salpeter IMF. Values refer to 1 solar mass
 -2.25   1.000000    0.7576    0.6905    0.0400    0.0087    0.0185    1.6989
 -2.25   1.500000    0.7463    0.6723    0.0468    0.0087    0.0185    1.5001
 -2.25   2.000000    0.7388    0.6595    0.0521    0.0087    0.0185    1.3781
 -2.25   3.000000    0.7284    0.6408    0.0605    0.0087    0.0185    1.2229
 -2.25   4.000000    0.7214    0.6272    0.0671    0.0087    0.0185    1.1245
 -2.25   5.000000    0.7163    0.6165    0.0726    0.0087    0.0185    1.0547
 -2.25   6.000000    0.7123    0.6077    0.0774    0.0087    0.0185    1.0017
 -2.25   7.000000    0.7091    0.6003    0.0816    0.0087    0.0185    0.9596
 -2.25   8.000000    0.7064    0.5937    0.0855    0.0087    0.0185    0.9241
 -2.25   9.000000    0.7040    0.5878    0.0890    0.0087    0.0185    0.8938
 -2.25  10.000000    0.7021    0.5827    0.0922    0.0087    0.0185    0.8689
 -2.25  11.000000    0.7004    0.5780    0.0952    0.0087    0.0185    0.8464
 -2.25  12.000000    0.6989    0.5737    0.0980    0.0087    0.0185    0.8270
 -2.25  13.000000    0.6975    0.5697    0.1007    0.0087    0.0185    0.8090
 -2.25  14.000000    0.6963    0.5658    0.1033    0.0087    0.0185    0.7920
 -2.25  15.000000    0.6952    0.5623    0.1057    0.0087    0.0185    0.7776
 -1.35   0.000001    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.000100    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.000200    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.000400    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.000600    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.000800    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.001000    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -1.35   0.001500    1.0000    1.0000    0.0000    0.0000    0.0000   99.9999
 -1.35   0.002000    0.9975    0.9951    0.0000    0.0000    0.0025   86.9203
 -1.35   0.002500    0.9905    0.9811    0.0000    0.0000    0.0095   60.3311
 -1.35   0.003000    0.9854    0.9709    0.0000    0.0000    0.0146   47.5091
 -1.35   0.003500    0.9818    0.9636    0.0000    0.0000    0.0182   40.5364
 -1.35   0.004000    0.9854    0.9582    0.0000    0.0087    0.0185   36.2089
 -1.35   0.004500    0.9804    0.9532    0.0000    0.0087    0.0185   32.7184
 -1.35   0.005000    0.9732    0.9460    0.0000    0.0087    0.0185   28.5138
 -1.35   0.005500    0.9677    0.9405    0.0000    0.0087    0.0185   25.7534
 -1.35   0.006000    0.9635    0.9364    0.0000    0.0087    0.0185   23.8925
 -1.35   0.006500    0.9590    0.9318    0.0000    0.0087    0.0185   22.0862
 -1.35   0.007000    0.9538    0.9266    0.0000    0.0087    0.0185   20.2189
 -1.35   0.007500    0.9513    0.9242    0.0000    0.0087    0.0185   19.4092
 -1.35   0.008000    0.9488    0.9216    0.0000    0.0087    0.0185   18.6067
 -1.35   0.008500    0.9444    0.9172    0.0000    0.0087    0.0185   17.3506
 -1.35   0.009000    0.9412    0.9140    0.0000    0.0087    0.0185   16.5012
 -1.35   0.009500    0.9388    0.9117    0.0000    0.0087    0.0185   15.9107
 -1.35   0.010000    0.9366    0.9094    0.0000    0.0087    0.0185   15.3700
 -1.35   0.015000    0.9167    0.8895    0.0000    0.0087    0.0185   11.5457
 -1.35   0.020000    0.9046    0.8774    0.0000    0.0087    0.0185    9.8196
 -1.35   0.025000    0.9043    0.8771    0.0000    0.0087    0.0185    9.7808
 -1.35   0.030000    0.8955    0.8683    0.0000    0.0087    0.0185    8.7467
 -1.35   0.035000    0.8894    0.8616    0.0006    0.0087    0.0185    8.0562
 -1.35   0.040000    0.8839    0.8553    0.0015    0.0087    0.0185    7.4725
 -1.35   0.045000    0.8790    0.8496    0.0023    0.0087    0.0185    6.9929
 -1.35   0.050000    0.8746    0.8444    0.0031    0.0087    0.0185    6.5900
 -1.35   0.055000    0.8705    0.8396    0.0038    0.0087    0.0185    6.2455
 -1.35   0.060000    0.8668    0.8351    0.0045    0.0087    0.0185    5.9468
 -1.35   0.065000    0.8632    0.8309    0.0051    0.0087    0.0185    5.6847
 -1.35   0.070000    0.8600    0.8270    0.0058    0.0087    0.0185    5.4523
 -1.35   0.075000    0.8569    0.8233    0.0064    0.0087    0.0185    5.2445
 -1.35   0.080000    0.8539    0.8198    0.0070    0.0087    0.0185    5.0573
 -1.35   0.085000    0.8512    0.8164    0.0076    0.0087    0.0185    4.8875
 -1.35   0.090000    0.8486    0.8132    0.0082    0.0087    0.0185    4.7327
 -1.35   0.095000    0.8461    0.8102    0.0087    0.0087    0.0185    4.5907
 -1.35   0.100000    0.8437    0.8073    0.0092    0.0087    0.0185    4.4600
 -1.35   0.200000    0.8164    0.7729    0.0162    0.0087    0.0185    3.2420
 -1.35   0.300000    0.8007    0.7524    0.0212    0.0087    0.0185    2.7200
 -1.35   0.400000    0.7898    0.7375    0.0251    0.0087    0.0185    2.4120
 -1.35   0.500000    0.7816    0.7260    0.0284    0.0087    0.0185    2.2050
 -1.35   0.600000    0.7751    0.7167    0.0312    0.0087    0.0185    2.0550
 -1.35   0.700000    0.7696    0.7088    0.0337    0.0087    0.0185    1.9370
 -1.35   0.800000    0.7650    0.7018    0.0360    0.0087    0.0185    1.8410
 -1.35   0.900000    0.7609    0.6956    0.0382    0.0087    0.0185    1.7610
 -1.35   1.000000    0.7573    0.6900    0.0401    0.0087    0.0185    1.6930
 -1.35   1.500000    0.7463    0.6723    0.0468    0.0087    0.0185    1.4996
 -1.35   2.000000    0.7386    0.6593    0.0522    0.0087    0.0185    1.3760
 -1.35   3.000000    0.7289    0.6416    0.0601    0.0087    0.0185    1.2290
 -1.35   4.000000    0.7223    0.6289    0.0662    0.0087    0.0185    1.1360
 -1.35   5.000000    0.7170    0.6180    0.0718    0.0087    0.0185    1.0640
 -1.35   6.000000    0.7131    0.6095    0.0764    0.0087    0.0185    1.0120
 -1.35   7.000000    0.7097    0.6018    0.0807    0.0087    0.0185    0.9680
 -1.35   8.000000    0.7074    0.5963    0.0839    0.0087    0.0185    0.9380
 -1.35   9.000000    0.7050    0.5904    0.0874    0.0087    0.0185    0.9070
 -1.35  10.000000    0.7032    0.5856    0.0904    0.0087    0.0185    0.8830
 -1.35  11.000000    0.7017    0.5817    0.0928    0.0087    0.0185    0.8640
 -1.35  12.000000    0.7000    0.5770    0.0958    0.0087    0.0185    0.8420
 -1.35  13.000000    0.6988    0.5735    0.0981    0.0087    0.0185    0.8260
 -1.35  14.000000    0.6976    0.5699    0.1005    0.0087    0.0185    0.8100
 -1.35  15.000000    0.6964    0.5662    0.1030    0.0087    0.0185    0.7940
 -0.33   0.000001    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -0.33   0.000100    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -0.33   0.000200    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -0.33   0.000400    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -0.33   0.000600    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -0.33   0.000800    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
 -0.33   0.001000    1.0000    1.0000    0.0000    0.0000    0.0000   99.9999
 -0.33   0.001500    0.9972    0.9943    0.0000    0.0000    0.0028   85.1159
 -0.33   0.002000    0.9923    0.9846    0.0000    0.0000    0.0077   65.8150
 -0.33   0.002500    0.9870    0.9740    0.0000    0.0000    0.0130   50.9684
 -0.33   0.003000    0.9824    0.9648    0.0000    0.0000    0.0176   41.5354
 -0.33   0.003500    0.9844    0.9572    0.0000    0.0087    0.0185   35.4911
 -0.33   0.004000    0.9830    0.9558    0.0000    0.0087    0.0185   34.4758
 -0.33   0.004500    0.9817    0.9546    0.0000    0.0087    0.0185   33.6226
 -0.33   0.005000    0.9735    0.9464    0.0000    0.0087    0.0185   28.6801
 -0.33   0.005500    0.9657    0.9385    0.0000    0.0087    0.0185   24.8380
 -0.33   0.006000    0.9600    0.9329    0.0000    0.0087    0.0185   22.4784
 -0.33   0.006500    0.9552    0.9281    0.0000    0.0087    0.0185   20.7105
 -0.33   0.007000    0.9510    0.9238    0.0000    0.0087    0.0185   19.2978
 -0.33   0.007500    0.9485    0.9214    0.0000    0.0087    0.0185   18.5389
 -0.33   0.008000    0.9460    0.9188    0.0000    0.0087    0.0185   17.7934
 -0.33   0.008500    0.9419    0.9147    0.0000    0.0087    0.0185   16.6709
 -0.33   0.009000    0.9388    0.9117    0.0000    0.0087    0.0185   15.9087
 -0.33   0.009500    0.9366    0.9094    0.0000    0.0087    0.0185   15.3772
 -0.33   0.010000    0.9345    0.9073    0.0000    0.0087    0.0185   14.8893
 -0.33   0.015000    0.9150    0.8878    0.0000    0.0087    0.0185   11.2716
 -0.33   0.020000    0.9028    0.8756    0.0000    0.0087    0.0185    9.5933
 -0.33   0.025000    0.8929    0.8656    0.0000    0.0087    0.0185    8.4638
 -0.33   0.030000    0.8864    0.8581    0.0011    0.0087    0.0185    7.7295
 -0.33   0.035000    0.8816    0.8526    0.0019    0.0087    0.0185    7.2377
 -0.33   0.040000    0.8775    0.8477    0.0026    0.0087    0.0185    6.8463
 -0.33   0.045000    0.8738    0.8434    0.0032    0.0087    0.0185    6.5187
 -0.33   0.050000    0.8704    0.8395    0.0038    0.0087    0.0185    6.2389
 -0.33   0.055000    0.8688    0.8375    0.0041    0.0087    0.0185    6.1057
 -0.33   0.060000    0.8646    0.8325    0.0049    0.0087    0.0185    5.7829
 -0.33   0.065000    0.8620    0.8294    0.0054    0.0087    0.0185    5.5934
 -0.33   0.070000    0.8600    0.8270    0.0058    0.0087    0.0185    5.4543
 -0.33   0.075000    0.8570    0.8235    0.0064    0.0087    0.0185    5.2546
 -0.33   0.080000    0.8550    0.8211    0.0068    0.0087    0.0185    5.1262
 -0.33   0.085000    0.8525    0.8180    0.0073    0.0087    0.0185    4.9653
 -0.33   0.090000    0.8508    0.8159    0.0077    0.0087    0.0185    4.8636
 -0.33   0.095000    0.8487    0.8134    0.0081    0.0087    0.0185    4.7410
 -0.33   0.100000    0.8471    0.8114    0.0085    0.0087    0.0185    4.6475
 -0.33   0.200000    0.8225    0.7808    0.0145    0.0087    0.0185    3.4785
 -0.33   0.300000    0.8081    0.7622    0.0187    0.0087    0.0185    2.9544
 -0.33   0.400000    0.7981    0.7489    0.0220    0.0087    0.0185    2.6443
 -0.33   0.500000    0.7904    0.7384    0.0249    0.0087    0.0185    2.4283
 -0.33   0.600000    0.7841    0.7297    0.0273    0.0087    0.0185    2.2682
 -0.33   0.700000    0.7789    0.7223    0.0295    0.0087    0.0185    2.1427
 -0.33   0.800000    0.7744    0.7157    0.0315    0.0087    0.0185    2.0397
 -0.33   0.900000    0.7705    0.7100    0.0333    0.0087    0.0185    1.9541
 -0.33   1.000000    0.7670    0.7048    0.0350    0.0087    0.0185    1.8814
 -0.33   1.500000    0.7539    0.6847    0.0421    0.0087    0.0185    1.6314
 -0.33   2.000000    0.7458    0.6714    0.0472    0.0087    0.0185    1.4904
 -0.33   3.000000    0.7334    0.6501    0.0562    0.0087    0.0185    1.2965
 -0.33   4.000000    0.7257    0.6355    0.0630    0.0087    0.0185    1.1835
 -0.33   5.000000    0.7218    0.6279    0.0667    0.0087    0.0185    1.1292
 -0.33   6.000000    0.7186    0.6213    0.0701    0.0087    0.0185    1.0852
 -0.33   7.000000    0.7157    0.6153    0.0733    0.0087    0.0185    1.0471
 -0.33   8.000000    0.7134    0.6102    0.0760    0.0087    0.0185    1.0159
 -0.33   9.000000    0.7114    0.6056    0.0786    0.0087    0.0185    0.9895
 -0.33  10.000000    0.7095    0.6012    0.0810    0.0087    0.0185    0.9647
 -0.33  11.000000    0.7078    0.5974    0.0833    0.0087    0.0185    0.9435
 -0.33  12.000000    0.7064    0.5938    0.0854    0.0087    0.0185    0.9246
 -0.33  13.000000    0.7051    0.5905    0.0874    0.0087    0.0185    0.9075
 -0.33  14.000000    0.7039    0.5874    0.0893    0.0087    0.0185    0.8920
 -0.33  15.000000    0.7027    0.5843    0.0912    0.0087    0.0185    0.8763
  0.00   0.000001    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.000100    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.000200    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.000400    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.000600    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.000800    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.001000    1.0000    1.0000    0.0000    0.0000    0.0000  100.0000
  0.00   0.001500    0.9925    0.9849    0.0000    0.0000    0.0075   66.3792
  0.00   0.002000    0.9895    0.9790    0.0000    0.0000    0.0105   57.3907
  0.00   0.002500    0.9828    0.9657    0.0000    0.0000    0.0172   42.3500
  0.00   0.003000    0.9857    0.9586    0.0000    0.0087    0.0185   36.4575
  0.00   0.003500    0.9755    0.9483    0.0000    0.0087    0.0185   29.7738
  0.00   0.004000    0.9695    0.9423    0.0000    0.0087    0.0185   26.6177
  0.00   0.004500    0.9660    0.9388    0.0000    0.0087    0.0185   24.9731
  0.00   0.005000    0.9639    0.9367    0.0000    0.0087    0.0185   24.0398
  0.00   0.005500    0.9619    0.9347    0.0000    0.0087    0.0185   23.2256
  0.00   0.006000    0.9548    0.9277    0.0000    0.0087    0.0185   20.5718
  0.00   0.006500    0.9477    0.9205    0.0000    0.0087    0.0185   18.2770
  0.00   0.007000    0.9433    0.9161    0.0000    0.0087    0.0185   17.0446
  0.00   0.007500    0.9409    0.9138    0.0000    0.0087    0.0185   16.4382
  0.00   0.008000    0.9387    0.9116    0.0000    0.0087    0.0185   15.8867
  0.00   0.008500    0.9365    0.9093    0.0000    0.0087    0.0185   15.3576
  0.00   0.009000    0.9337    0.9066    0.0000    0.0087    0.0185   14.7306
  0.00   0.009500    0.9306    0.9034    0.0000    0.0087    0.0185   14.0642
  0.00   0.010000    0.9276    0.9004    0.0000    0.0087    0.0185   13.4600
  0.00   0.015000    0.9136    0.8864    0.0000    0.0087    0.0185   11.0632
  0.00   0.020000    0.9098    0.8826    0.0000    0.0087    0.0185   10.5143
  0.00   0.025000    0.8926    0.8654    0.0001    0.0087    0.0185    8.4361
  0.00   0.030000    0.8908    0.8633    0.0004    0.0087    0.0185    8.2247
  0.00   0.035000    0.8853    0.8569    0.0012    0.0087    0.0185    7.6128
  0.00   0.040000    0.8808    0.8517    0.0020    0.0087    0.0185    7.1656
  0.00   0.045000    0.8769    0.8471    0.0027    0.0087    0.0185    6.7931
  0.00   0.050000    0.8733    0.8428    0.0033    0.0087    0.0185    6.4763
  0.00   0.055000    0.8700    0.8389    0.0039    0.0087    0.0185    6.2024
  0.00   0.060000    0.8664    0.8347    0.0045    0.0087    0.0185    5.9188
  0.00   0.065000    0.8641    0.8320    0.0050    0.0087    0.0185    5.7500
  0.00   0.070000    0.8615    0.8288    0.0055    0.0087    0.0185    5.5601
  0.00   0.075000    0.8590    0.8259    0.0060    0.0087    0.0185    5.3889
  0.00   0.080000    0.8567    0.8231    0.0064    0.0087    0.0185    5.2335
  0.00   0.085000    0.8545    0.8204    0.0069    0.0087    0.0185    5.0916
  0.00   0.090000    0.8524    0.8179    0.0073    0.0087    0.0185    4.9614
  0.00   0.095000    0.8504    0.8155    0.0078    0.0087    0.0185    4.8413
  0.00   0.100000    0.8486    0.8132    0.0081    0.0087    0.0185    4.7334
  0.00   0.200000    0.8255    0.7846    0.0137    0.0087    0.0185    3.6001
  0.00   0.300000    0.8122    0.7676    0.0175    0.0087    0.0185    3.0934
  0.00   0.400000    0.8026    0.7549    0.0205    0.0087    0.0185    2.7777
  0.00   0.500000    0.7953    0.7450    0.0231    0.0087    0.0185    2.5617
  0.00   0.600000    0.7892    0.7368    0.0253    0.0087    0.0185    2.3977
  0.00   0.700000    0.7842    0.7297    0.0273    0.0087    0.0185    2.2695
  0.00   0.800000    0.7798    0.7236    0.0291    0.0087    0.0185    2.1640
  0.00   0.900000    0.7760    0.7180    0.0308    0.0087    0.0185    2.0750
  0.00   1.000000    0.7725    0.7130    0.0323    0.0087    0.0185    1.9985
  0.00   1.500000    0.7598    0.6939    0.0387    0.0087    0.0185    1.7408
  0.00   2.000000    0.7509    0.6799    0.0439    0.0087    0.0185    1.5784
  0.00   3.000000    0.7384    0.6588    0.0524    0.0087    0.0185    1.3719
